id_municipio;SUM de populacao_residente;;;;;;;;;;;;;;;;;;;;;;;;
1507755;5847;;;;;;;;;;;;;;;;;;;;;;;;
1507805;22570;;;;;;;;;;;;;;;;;;;;;;;;
1507904;24194;;;;;;;;;;;;;;;;;;;;;;;;
1507953;72483;;;;;;;;;;;;;;;;;;;;;;;;
1507961;10398;;;;;;;;;;;;;;;;;;;;;;;;
1507979;18777;;;;;;;;;;;;;;;;;;;;;;;;
1508001;67575;;;;;;;;;;;;;;;;;;;;;;;;
1508035;28592;;;;;;;;;;;;;;;;;;;;;;;;
1508050;15240;;;;;;;;;;;;;;;;;;;;;;;;
1508084;39548;;;;;;;;;;;;;;;;;;;;;;;;
1508100;91295;;;;;;;;;;;;;;;;;;;;;;;;
1508126;37969;;;;;;;;;;;;;;;;;;;;;;;;
1508159;43555;;;;;;;;;;;;;;;;;;;;;;;;
1508209;50809;;;;;;;;;;;;;;;;;;;;;;;;
1508308;58683;;;;;;;;;;;;;;;;;;;;;;;;
1508357;15605;;;;;;;;;;;;;;;;;;;;;;;;
1508407;52885;;;;;;;;;;;;;;;;;;;;;;;;
1600055;4671;;;;;;;;;;;;;;;;;;;;;;;;
1600105;7943;;;;;;;;;;;;;;;;;;;;;;;;
1600154;12844;;;;;;;;;;;;;;;;;;;;;;;;
1600204;10609;;;;;;;;;;;;;;;;;;;;;;;;
1600212;4457;;;;;;;;;;;;;;;;;;;;;;;;
1600238;6663;;;;;;;;;;;;;;;;;;;;;;;;
1600253;5599;;;;;;;;;;;;;;;;;;;;;;;;
1600279;35107;;;;;;;;;;;;;;;;;;;;;;;;
1600303;442836;;;;;;;;;;;;;;;;;;;;;;;;
1600402;21919;;;;;;;;;;;;;;;;;;;;;;;;
1600501;27477;;;;;;;;;;;;;;;;;;;;;;;;
1600535;17847;;;;;;;;;;;;;;;;;;;;;;;;
1600550;3803;;;;;;;;;;;;;;;;;;;;;;;;
1600600;107589;;;;;;;;;;;;;;;;;;;;;;;;
1600709;12943;;;;;;;;;;;;;;;;;;;;;;;;
1600808;11289;;;;;;;;;;;;;;;;;;;;;;;;
1700251;2576;;;;;;;;;;;;;;;;;;;;;;;;
1700301;4497;;;;;;;;;;;;;;;;;;;;;;;;
1700350;5146;;;;;;;;;;;;;;;;;;;;;;;;
1700400;6499;;;;;;;;;;;;;;;;;;;;;;;;
1700707;8802;;;;;;;;;;;;;;;;;;;;;;;;
1701002;10323;;;;;;;;;;;;;;;;;;;;;;;;
1701051;2875;;;;;;;;;;;;;;;;;;;;;;;;
1701101;4855;;;;;;;;;;;;;;;;;;;;;;;;
1701309;5289;;;;;;;;;;;;;;;;;;;;;;;;
1701903;5923;;;;;;;;;;;;;;;;;;;;;;;;
1702000;8133;;;;;;;;;;;;;;;;;;;;;;;;
1702109;171274;;;;;;;;;;;;;;;;;;;;;;;;
1702158;4309;;;;;;;;;;;;;;;;;;;;;;;;
1702208;31911;;;;;;;;;;;;;;;;;;;;;;;;
1702307;5550;;;;;;;;;;;;;;;;;;;;;;;;
1702406;10276;;;;;;;;;;;;;;;;;;;;;;;;
1702554;17479;;;;;;;;;;;;;;;;;;;;;;;;
1702703;3340;;;;;;;;;;;;;;;;;;;;;;;;
1702901;10260;;;;;;;;;;;;;;;;;;;;;;;;
1703008;7877;;;;;;;;;;;;;;;;;;;;;;;;
1703057;3406;;;;;;;;;;;;;;;;;;;;;;;;
1703073;4474;;;;;;;;;;;;;;;;;;;;;;;;
1703107;4845;;;;;;;;;;;;;;;;;;;;;;;;
1703206;4228;;;;;;;;;;;;;;;;;;;;;;;;
1703305;4038;;;;;;;;;;;;;;;;;;;;;;;;
1703602;1974;;;;;;;;;;;;;;;;;;;;;;;;
1703701;4724;;;;;;;;;;;;;;;;;;;;;;;;
1703800;10305;;;;;;;;;;;;;;;;;;;;;;;;
1703826;1960;;;;;;;;;;;;;;;;;;;;;;;;
1703842;8651;;;;;;;;;;;;;;;;;;;;;;;;
1703867;4005;;;;;;;;;;;;;;;;;;;;;;;;
1703883;2201;;;;;;;;;;;;;;;;;;;;;;;;
1703891;3318;;;;;;;;;;;;;;;;;;;;;;;;
1703909;4846;;;;;;;;;;;;;;;;;;;;;;;;
1704105;2129;;;;;;;;;;;;;;;;;;;;;;;;
1704600;1501;;;;;;;;;;;;;;;;;;;;;;;;
1705102;3116;;;;;;;;;;;;;;;;;;;;;;;;
1705508;34230;;;;;;;;;;;;;;;;;;;;;;;;
1705557;4754;;;;;;;;;;;;;;;;;;;;;;;;
1705607;3887;;;;;;;;;;;;;;;;;;;;;;;;
1706001;5330;;;;;;;;;;;;;;;;;;;;;;;;
1706100;6370;;;;;;;;;;;;;;;;;;;;;;;;
1706258;1470;;;;;;;;;;;;;;;;;;;;;;;;
1706506;5827;;;;;;;;;;;;;;;;;;;;;;;;
1707009;17736;;;;;;;;;;;;;;;;;;;;;;;;
1707108;7023;;;;;;;;;;;;;;;;;;;;;;;;
1707207;6324;;;;;;;;;;;;;;;;;;;;;;;;
1707306;4247;;;;;;;;;;;;;;;;;;;;;;;;
1707405;7529;;;;;;;;;;;;;;;;;;;;;;;;
1707553;3466;;;;;;;;;;;;;;;;;;;;;;;;
1707652;5211;;;;;;;;;;;;;;;;;;;;;;;;
1707702;7710;;;;;;;;;;;;;;;;;;;;;;;;
1708205;18879;;;;;;;;;;;;;;;;;;;;;;;;
1708254;3453;;;;;;;;;;;;;;;;;;;;;;;;
1708304;4738;;;;;;;;;;;;;;;;;;;;;;;;
1709005;12422;;;;;;;;;;;;;;;;;;;;;;;;
1709302;24768;;;;;;;;;;;;;;;;;;;;;;;;
1709500;85109;;;;;;;;;;;;;;;;;;;;;;;;
1709807;1589;;;;;;;;;;;;;;;;;;;;;;;;
1710508;6811;;;;;;;;;;;;;;;;;;;;;;;;
1710706;5172;;;;;;;;;;;;;;;;;;;;;;;;
1710904;3576;;;;;;;;;;;;;;;;;;;;;;;;
1711100;2404;;;;;;;;;;;;;;;;;;;;;;;;
1711506;3333;;;;;;;;;;;;;;;;;;;;;;;;
1711803;2243;;;;;;;;;;;;;;;;;;;;;;;;
1711902;15288;;;;;;;;;;;;;;;;;;;;;;;;
1711951;3516;;;;;;;;;;;;;;;;;;;;;;;;
1712009;3357;;;;;;;;;;;;;;;;;;;;;;;;
1712157;1625;;;;;;;;;;;;;;;;;;;;;;;;
1712405;2995;;;;;;;;;;;;;;;;;;;;;;;;
1712454;2715;;;;;;;;;;;;;;;;;;;;;;;;
1712504;4614;;;;;;;;;;;;;;;;;;;;;;;;
1712702;2747;;;;;;;;;;;;;;;;;;;;;;;;
1712801;3093;;;;;;;;;;;;;;;;;;;;;;;;
1713205;18557;;;;;;;;;;;;;;;;;;;;;;;;
