Sexo,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total,tipologia,ano,estado
Masculino,92707.0,90509.0,94424.0,100480.0,113174.0,107505.0,103482.0,93585.0,81967.0,69459.0,61905.0,53837.0,39858.0,29988.0,23723.0,16486.0,18544.0,1191633.0,U,2021,CE
Feminino,88461.0,86580.0,89753.0,96236.0,110977.0,110665.0,109698.0,99850.0,88921.0,77224.0,70652.0,62233.0,47713.0,37345.0,30022.0,21239.0,28362.0,1255931.0,U,2021,CE
Masculino,1771.0,1711.0,1669.0,1768.0,1846.0,1856.0,1835.0,1874.0,1788.0,1681.0,1607.0,1415.0,1152.0,860.0,618.0,472.0,609.0,24532.0,IA,2018,ES
Feminino,1693.0,1644.0,1602.0,1711.0,1864.0,1876.0,1874.0,1878.0,1799.0,1680.0,1577.0,1447.0,1206.0,965.0,765.0,626.0,893.0,25100.0,IA,2018,ES
Masculino,1733.0,1759.0,1573.0,1577.0,1724.0,1859.0,1818.0,1876.0,1871.0,1733.0,1652.0,1527.0,1278.0,987.0,688.0,500.0,676.0,24831.0,IA,2021,ES
Feminino,1658.0,1655.0,1536.0,1529.0,1762.0,1879.0,1843.0,1877.0,1848.0,1750.0,1613.0,1538.0,1317.0,1075.0,825.0,666.0,1015.0,25386.0,IA,2021,ES
Masculino,2145.0,2042.0,1998.0,2131.0,2242.0,2304.0,2362.0,2391.0,2287.0,2194.0,2172.0,1948.0,1635.0,1249.0,873.0,653.0,875.0,31501.0,RA,2018,ES
Feminino,2051.0,1922.0,1926.0,2156.0,2225.0,2227.0,2379.0,2455.0,2376.0,2162.0,1990.0,1856.0,1639.0,1294.0,950.0,740.0,1087.0,31435.0,RA,2018,ES
Masculino,2077.0,2057.0,1827.0,1852.0,2070.0,2208.0,2281.0,2343.0,2341.0,2228.0,2210.0,2087.0,1775.0,1421.0,992.0,684.0,962.0,31415.0,RA,2021,ES
Feminino,1986.0,1946.0,1730.0,1885.0,2137.0,2149.0,2260.0,2407.0,2440.0,2282.0,2046.0,1903.0,1724.0,1448.0,1061.0,786.0,1211.0,31401.0,RA,2021,ES
Masculino,17428.0,17282.0,15879.0,16209.0,18092.0,19859.0,19350.0,18791.0,17371.0,15308.0,14661.0,13704.0,11365.0,9113.0,7111.0,5225.0,6870.0,243618.0,IA,2021,MG
Feminino,16620.0,16443.0,15077.0,15725.0,18055.0,19784.0,19490.0,18660.0,17296.0,15552.0,14882.0,13693.0,11726.0,10094.0,8061.0,6233.0,9090.0,246481.0,IA,2021,MG
Masculino,17687.0,17164.0,17367.0,18526.0,19935.0,19981.0,19070.0,18183.0,16285.0,14902.0,14453.0,12773.0,10397.0,8395.0,6568.0,4886.0,6154.0,242726.0,IA,2018,MG
