codigo,populacao_residente,Óbitos_p/Residênc,Estado,UF,Tipo,taxa_bruta_mortalidade,taxa_analfabetismo,rede_de_esgoto,tx_n_distribuicao_agua,tx_banheiro,tx_coleta_lixo,Municipio,tx_rede_agua
220793,2457,15,Piauí,PI,RuralRemoto,6.105006105006105,19.75,0.25,3.45,98.28,44.95,Pedro Laurentino,69.83
220795,4076,22,Piauí,PI,RuralAdjacente,5.397448478900883,22.72,0.15,5.32,93.0,31.41,Nova Santa Rita,62.32
220800,83080,642,Piauí,PI,Urbano,7.727491574386134,13.70999999999999,45.15,7.25,98.53,96.32,Picos,87.22
220810,11339,70,Piauí,PI,RuralRemoto,6.173383896287151,27.87,0.1,18.33,87.77,47.74,Pimenteiras,79.81
220820,17611,142,Piauí,PI,RuralAdjacente,8.063142354210436,24.78,12.03,59.18,86.53,57.24,Pio IX,36.52
220830,28845,208,Piauí,PI,IntermediarioAdjacente,7.2109551048708616,23.26000000000001,2.63,25.65,94.32,77.11,Piracuruca,68.27
220840,65521,553,Piauí,PI,Urbano,8.44004212389921,19.18000000000001,9.96,14.29,95.27,85.13,Piripiri,80.63
220850,12047,71,Piauí,PI,RuralAdjacente,5.893583464763012,25.36,25.64,32.79,77.71,60.78,Porto,63.95
220860,3042,26,Piauí,PI,RuralAdjacente,8.547008547008549,26.16,0.09,4.49,92.76,83.13,Prata do Piauí,89.18
220865,8735,52,Piauí,PI,RuralAdjacente,5.953062392673154,20.72,0.24,64.33,90.35,33.34,Queimada Nova,25.75
220870,8393,52,Piauí,PI,RuralRemoto,6.195639223162159,17.93000000000001,0.31,3.61,91.57,55.03,Redenção do Gurguéia,92.85
220880,17130,141,Piauí,PI,Urbano,8.231173380035026,25.18000000000001,2.4,33.59,86.02,75.81,Regeneração,61.22
220885,4164,31,Piauí,PI,RuralRemoto,7.444764649375601,16.51000000000001,1.16,30.42,82.04,55.57,Riacho Frio,63.47
220887,4055,18,Piauí,PI,RuralRemoto,4.438964241676943,27.14,0.14,10.75,89.96,63.37,Ribeira do Piauí,63.01
220900,5800,52,Piauí,PI,RuralRemoto,8.96551724137931,22.13,0.09,5.3,90.69,62.98,Rio Grande do Piauí,92.01
220910,5830,41,Piauí,PI,RuralAdjacente,7.0325900514579756,23.89,3.25,25.86,93.97,74.7,Santa Cruz do Piauí,69.78
220915,3435,22,Piauí,PI,RuralAdjacente,6.404657933042213,23.23,1.1,11.94,95.0,79.93,Santa Cruz dos Milagres,87.47
220930,5335,40,Piauí,PI,RuralRemoto,7.497656982193065,18.27,0.29,18.14,96.79,75.03,Santa Luz,77.25
220935,4124,23,Piauí,PI,RuralAdjacente,5.5771096023278375,26.75,4.07,1.0,94.86,91.57,Santana do Piauí,97.86
220937,4650,55,Piauí,PI,RuralAdjacente,11.827956989247312,23.83,0.0,2.48,96.28,76.77,Santa Rosa do Piauí,92.97
220940,5838,57,Piauí,PI,RuralAdjacente,9.763617677286742,21.15000000000001,1.39,9.27,92.93,81.26,Santo Antônio de Lisboa,86.19
220945,2138,12,Piauí,PI,RuralAdjacente,5.612722170252572,21.95999999999999,0.5,30.69,93.56,61.55,Santo Antônio dos Milagres,59.24
220950,3644,37,Piauí,PI,RuralAdjacente,10.153677277716795,24.36,3.45,19.35,96.32,65.12,Santo Inácio do Piauí,76.82
220955,4358,53,Piauí,PI,RuralAdjacente,12.161541991739329,22.81999999999999,0.07,92.96,79.66,53.13,São Braz do Piauí,1.51
220960,2840,26,Piauí,PI,RuralAdjacente,9.154929577464788,22.09,0.19,27.11,99.32,83.19,São Félix do Piauí,72.69
220965,5572,32,Piauí,PI,RuralRemoto,5.74300071787509,25.63,0.05,43.61,80.69,36.66,São Francisco de Assis do Piauí,43.29
220970,5392,69,Piauí,PI,RuralAdjacente,12.79673590504451,27.01000000000001,2.45,18.97,89.63,52.79,São Francisco do Piauí,78.0
220975,2947,13,Piauí,PI,RuralRemoto,4.411265693926026,17.89,0.75,7.97,84.18,47.36,São Gonçalo do Gurguéia,86.44
220980,4837,38,Piauí,PI,RuralAdjacente,7.856109158569361,20.8,0.64,5.23,97.26,88.9,São Gonçalo do Piauí,94.45
220985,4239,41,Piauí,PI,RuralAdjacente,9.672092474640246,24.79000000000001,0.77,3.32,95.72,59.68,São João da Canabrava,94.5
220987,5521,30,Piauí,PI,RuralAdjacente,5.433798224959246,26.81,17.18,43.35,92.39,60.8,São João da Fronteira,47.02
220990,6113,82,Piauí,PI,RuralAdjacente,13.414035661704563,28.23,3.09,38.01,88.55,67.62,São João da Serra,56.86
220995,4381,50,Piauí,PI,RuralAdjacente,11.41291942478886,27.67,0.14,4.22,92.72,35.31,São João da Varjota,94.29
220997,8186,75,Piauí,PI,RuralAdjacente,9.16198387490838,23.05,0.24,3.79,85.28,50.32,São João do Arraial,92.34
